Date,BTC-USD,GLD,QQQ,SPY,^GSPC
2020-03-06,9122.5458984375,157.5500030517578,200.2528076171875,271.1405029296875,2972.3701171875
2020-03-07,8909.9541015625,,,,
2020-03-08,8108.1162109375,,,,
2020-03-09,7923.64453125,157.80999755859375,186.34234619140625,249.96597290039062,2746.56005859375
2020-03-10,7909.7294921875,154.47999572753906,196.48880004882812,262.9004211425781,2882.22998046875
2020-03-11,7911.43017578125,153.92999267578125,187.93069458007812,250.0843963623047,2741.3798828125
2020-03-12,4970.7880859375,147.7899932861328,170.69908142089844,226.1571044921875,2480.639892578125
2020-03-13,5563.70703125,143.27999877929688,185.15826416015625,245.49038696289062,2711.02001953125
2020-03-14,5200.3662109375,,,,
2020-03-15,5392.31494140625,,,,
2020-03-16,5014.47998046875,141.63999938964844,162.9785614013672,218.6279754638672,2386.1298828125
2020-03-17,5225.62939453125,143.55999755859375,175.33914184570312,230.43206787109375,2529.18994140625
2020-03-18,5238.4384765625,140.6999969482422,170.0059356689453,218.7646484375,2398.10009765625
2020-03-19,6191.19287109375,138.0399932861328,171.0264434814453,219.2294921875,2409.389892578125
2020-03-20,6198.7783203125,140.11000061035156,164.32627868652344,209.78199768066406,2304.919921875
2020-03-21,6185.06640625,,,,
2020-03-22,5830.2548828125,,,,
2020-03-23,6416.31494140625,146.3000030517578,164.44493103027344,204.41824340820312,2237.39990234375
2020-03-24,6734.8037109375,153.39999389648438,177.17913818359375,222.939208984375,2447.330078125
2020-03-25,6681.06298828125,151.3000030517578,175.8671112060547,226.27662658691406,2475.56005859375
2020-03-26,6716.4404296875,153.24000549316406,185.1283721923828,239.48890686035156,2630.070068359375
2020-03-27,6469.79833984375,152.25,178.7612762451172,232.35557556152344,2541.469970703125
2020-03-28,6242.19384765625,,,,
2020-03-29,5922.04296875,,,,
2020-03-30,6429.841796875,152.9199981689453,185.263427734375,239.9014892578125,2626.64990234375
2020-03-31,6438.64453125,148.0500030517578,183.6813507080078,236.3256378173828,2584.590087890625
2020-04-01,6606.7763671875,149.4499969482422,175.8767852783203,225.68983459472656,2470.5
2020-04-02,6793.62451171875,151.89999389648438,179.4462432861328,230.897705078125,2526.89990234375
2020-04-03,6733.38720703125,152.64999389648438,176.89938354492188,227.56028747558594,2488.64990234375
2020-04-04,6867.52734375,,,,
2020-04-05,6791.12939453125,,,,
2020-04-06,7271.78125,156.8800048828125,189.5467529296875,242.84461975097656,2663.679931640625
2020-04-07,7176.41455078125,156.0399932861328,189.4696044921875,243.09225463867188,2659.409912109375
2020-04-08,7334.0986328125,154.64999389648438,193.49241638183594,251.25253295898438,2749.97998046875
2020-04-09,7302.08935546875,158.69000244140625,193.772216796875,255.07583618164062,2789.820068359375
2020-04-10,6865.4931640625,,,,
2020-04-11,6859.0830078125,,,,
2020-04-12,6971.091796875,,,,
2020-04-13,6845.03759765625,161.41000366210938,195.8656005859375,252.74697875976562,2761.6298828125
2020-04-14,6842.427734375,162.67999267578125,204.384033203125,260.20123291015625,2846.06005859375
2020-04-15,6642.10986328125,161.85000610351562,202.03976440429688,254.67242431640625,2783.360107421875
2020-04-16,7116.80419921875,161.7100067138672,205.7250518798828,255.90098571777344,2799.550048828125
2020-04-17,7096.1845703125,158.57000732421875,207.69302368164062,262.8143310546875,2874.56005859375
2020-04-18,7257.6650390625,,,,
